ac_no,ac_name,winning_cand,party,totelectors,totvotes,poll_percentage,margin,winning_percentage
121,Anthiyur,E. M. Natarajan,DMK,57565,"32,691",56.79,"24,874",43.21
122,Gobichettipalayam,S. M. Palaniappan,DMK,59183,"35,184",59.45,"23,999",40.55
123,Satyamangalam,Subramaniam Sk.,DMK,57326,"31,873",55.6,"25,453",44.4
124,Bhavanisagar,V. K. Ramarasan,DMK,53966,"28,003",51.89,"25,963",48.11
125,Oddanchatram,Nachimuthu Goundar N.,DMK,69241,"40,845",58.99,"28,396",41.01
126,Palani,C. Palanisamy,DMK,69760,"38,919",55.79,"30,841",44.21
127,Periyakulam,N. Anbuchezhian,DMK,66712,"37,926",56.85,"28,786",43.15
128,Bodinayakkanur,M. Surulivel,DMK,65087,"35,427",54.43,"29,660",45.57
129,Cumbum,Gopal K. P.,INC,70561,"34,483",48.87,"36,078",51.13
130,Theni,P. T. R. Palanivel Rajan,DMK,71528,"45,785",64.01,"25,743",35.99
131,Andipatti,N. V. Gurusamy Naidu,SWA,57228,"20,814",36.37,"36,414",63.63
132,Sedapatti,Thavamani Thevar V.,AIFB,55466,"20,334",36.66,"35,132",63.34
133,Tirumangalam,M. C. A. Rethinasamy Thevar,AIFB,64013,"36,468",56.97,"27,545",43.03
134,Usilampatti,P.K. Mookiah Thevar,AIFB,66199,"49,292",74.46,"16,907",25.54
135,Nilakottai,A. Muniyandi,DMK,63127,"38,583",61.12,"24,544",38.88
136,Sholavandan,P. S. Maniyan,DMK,78316,"43,254",55.23,"35,062",44.77
137,Thiruparankundram,Kaverimaniam C.,DMK,77584,"39,110",50.41,"38,474",49.59
138,Madurai West,K. T. K. Thangamani,CPI,85420,"40,899",47.88,"44,521",52.12
139,Madurai Central,K. Thirupathy,DMK,63200,"30,905",48.9,"32,295",51.1
140,Madurai East,K. Ramakrishnan K. S.,DMK,63186,"27,884",44.13,"35,302",55.87
141,Melur (South),O. P. Raman,DMK,76684,"45,090",58.8,"31,594",41.2
142,Melur (North),P. Malaichamy,DMK,74540,"37,337",50.09,"37,203",49.91
143,Vadamadurai,Nagarajan. K,DMK,61258,"35,989",58.75,"25,269",41.25
144,Dindigul,Sundaram Pillai O. N.,INC,69786,"27,775",39.8,"42,011",60.2
145,Athoor,A. M. T. Nachiappan,DMK,70678,"42,195",59.7,"28,483",40.3
146,Vedasandur,P. Muthusamy,DMK,67822,"36,746",54.18,"31,076",45.82
147,Aravakurichi,Abdul Jabbar,IUML,56845,"34,164",60.1,"22,681",39.9
148,Karur,S. Nallasamy,DMK,81303,"45,977",56.55,"35,326",43.45
149,Thottiyam,S. K. Vadivelu,DMK,77397,"39,821",51.45,"37,576",48.55
150,Musiri,P. S. Muthuselvan,DMK,64636,"35,091",54.29,"29,545",45.71
151,Uppiliyapuram,T. P. Alagamuthu,DMK,83064,"42,861",51.6,"40,203",48.4
152,Perambalur,J. S. Raju,DMK,70628,"39,043",55.28,"31,585",44.72
153,Varahur,K. Palanivelan,DMK,72539,"42,733",58.91,"29,806",41.09
154,Andimadam,S. Sadasiva Padayachi,DMK,74106,"39,313",53.05,"34,793",46.95
155,Jayankondam,A. Chinnasamy,DMK,72044,"41,627",57.78,"30,417",42.22
156,Ariyalur,G. Sivaperumal,DMK,75288,"48,320",64.18,"26,968",35.82
157,Lalgudi,Muthamil Selvan Vn.,DMK,73772,"40,213",54.51,"33,559",45.49
158,Srirangam,Jothi Venkatachalam,INC,70621,"36,172",51.22,"34,449",48.78
159,Tiruchirappalli I,V. Krishnamurthy,DMK,72363,"38,099",52.65,"34,264",47.35
160,Tiruchirappalli Ii,Anbil P. Dharmalingam,DMK,72826,"40,593",55.74,"32,233",44.26
161,Thiruverumbur,Kamaichi,DMK,81495,"43,233",53.05,"38,262",46.95
162,Kulithalai,M. Kandaswamy,DMK,82336,"44,198",53.68,"38,138",46.32
163,Krishnarayapuram,P. Soundarapandiyan,DMK,65741,"36,177",55.03,"29,564",44.97
164,Kadavur,Karuraigiri Muthiah,INC,61511,"31,752",51.62,"29,759",48.38
165,Viralimalai,Ilechezhiyan V. S.,DMK,72756,"41,813",57.47,"30,943",42.53
166,Thirumayam,A. Thiagarajan,DMK,72613,"38,630",53.2,"33,983",46.8
167,Alangudi,K. V. Subbiah,DMK,79821,"43,279",54.22,"36,542",45.78
168,Pudukkottai,M. Sathiamoorthy,INC,74103,"34,680",46.8,"39,423",53.2
169,Thiruvaiyaru,G. Elangovan,DMK,73180,"37,139",50.75,"36,041",49.25
170,Thanjavur,S. Natarajan,DMK,68715,"38,288",55.72,"30,427",44.28
171,Papanasam,N. Ganapathy,DMK,77383,"43,497",56.21,"33,886",43.79
172,Valangiman,N. Somasundaram,DMK,66286,"38,519",58.11,"27,767",41.89
173,Kumbakonam,N. Kasiraman,INC,77269,"39,755",51.45,"37,514",48.55
174,Aduthurai,K. Rajamanickam,DMK,78078,"40,023",51.26,"38,055",48.74
175,Sirkazhi,Vadivel S.,CPI,60051,"31,977",53.25,"28,074",46.75
176,Sembanarkoil,Sampath T. V.,DMK,60300,"33,937",56.28,"26,363",43.72
177,Mayiladuthurai,N. Kittappa,DMK,73606,"37,311",50.69,"36,295",49.31
178,Kuttalam,S. Ganesan,DMK,63736,"34,781",54.57,"28,955",45.43
